"Series Description","Nonfinancial corporate business; corporate equities; liability","Nonfinancial corporate business; net dividends paid","Farm business; net dividends paid","Nonfinancial noncorporate business; proprietors' equity in noncorporate business (net worth)","Nonfinancial business; debt securities and loans; liability","Nonfinancial corporate business; consumption of fixed capital, structures, equipment, and intellectual property products, including equity REIT residential structures (NIPA basis)","Nonfinancial noncorporate business; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis ","Nonfinancial business; total capital expenditures"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","Z1/Z1/FA103164103.Q","Z1/Z1/FA106121075.Q","Z1/OTHER/FA136121073.Q","Z1/Z1/FA112090205.Q","Z1/Z1/FA144104005.Q","Z1/Z1/FA106300083.Q","Z1/Z1/FA116300001.Q","Z1/Z1/FA145050005.Q"
"Time Period","FA103164103.Q","FA106121075.Q","FA136121073.Q","FA112090205.Q","FA144104005.Q","FA106300083.Q","FA116300001.Q","FA145050005.Q"
1952Q1,2292.0,6660.0,36.0,5579.0,6492.0,15255.0,8257.0,39391.0
1952Q2,2656.0,7236.0,36.0,-6.0,9132.0,15438.0,8325.0,33823.0
1952Q3,1560.0,7056.0,36.0,1705.0,9624.0,15672.0,8395.0,38139.0
1952Q4,2772.0,7260.0,36.0,2876.0,9676.0,15955.0,8470.0,40742.0
1953Q1,2072.0,6848.0,28.0,1568.0,7040.0,16288.0,8551.0,41094.0
1953Q2,2180.0,7440.0,32.0,-453.0,6028.0,16598.0,8623.0,41386.0
1953Q3,1260.0,7416.0,32.0,717.0,6592.0,16883.0,8692.0,41096.0
1953Q4,1552.0,7268.0,32.0,9820.0,-576.0,17143.0,8757.0,36301.0
1954Q1,2948.0,7572.0,28.0,-1745.0,6112.0,17380.0,8814.0,35197.0
1954Q2,2088.0,7048.0,28.0,-3056.0,4704.0,17612.0,8874.0,33790.0
1954Q3,912.0,7424.0,28.0,-3067.0,8676.0,17840.0,8935.0,35932.0
1954Q4,384.0,7384.0,28.0,3534.0,5104.0,18064.0,8995.0,37851.0
1955Q1,2124.0,7984.0,24.0,-554.0,6908.0,18283.0,9058.0,42429.0
1955Q2,640.0,8216.0,28.0,-4618.0,13572.0,18623.0,9155.0,45650.0
1955Q3,1112.0,8704.0,28.0,-2602.0,11712.0,19082.0,9291.0,47759.0
1955Q4,3000.0,8756.0,28.0,3469.0,17392.0,19660.0,9462.0,52604.0
1956Q1,2088.0,8880.0,24.0,751.0,12676.0,20359.0,9670.0,52546.0
1956Q2,936.0,8944.0,24.0,-2442.0,15112.0,21037.0,9855.0,50908.0
1956Q3,2292.0,8868.0,24.0,-1400.0,12524.0,21695.0,10018.0,52377.0
1956Q4,3684.0,9336.0,24.0,3164.0,11032.0,22333.0,10159.0,51557.0
1957Q1,3040.0,9288.0,28.0,1114.0,12344.0,22950.0,10278.0,52666.0
1957Q2,3612.0,9148.0,32.0,-33.0,14872.0,23519.0,10402.0,53221.0
1957Q3,1196.0,9232.0,32.0,82.0,11004.0,24041.0,10529.0,54683.0
1957Q4,1916.0,9236.0,28.0,410.0,10260.0,24514.0,10663.0,46542.0
1958Q1,884.0,9232.0,32.0,2987.0,9628.0,24940.0,10799.0,43451.0
1958Q2,3432.0,9224.0,32.0,1887.0,8304.0,25333.0,10916.0,41934.0
1958Q3,1940.0,9132.0,32.0,3222.0,10948.0,25692.0,11015.0,47710.0
1958Q4,1616.0,8872.0,32.0,3442.0,15660.0,26018.0,11094.0,53619.0
1959Q1,2044.0,9480.0,10.0,-2925.0,10520.0,26311.0,11088.0,54048.0
1959Q2,2952.0,9856.0,10.0,-7727.0,20344.0,26579.0,11140.0,59229.0
1959Q3,1040.0,9944.0,10.0,-6828.0,13272.0,26822.0,11183.0,53095.0
1959Q4,2276.0,9984.0,10.0,-592.0,14464.0,27041.0,11217.0,56663.0
1960Q1,1404.0,10324.0,40.0,-200.0,14904.0,27235.0,11199.0,66320.0
1960Q2,1476.0,10340.0,40.0,-1772.0,15916.0,27442.0,11269.0,58585.0
1960Q3,1600.0,10696.0,40.0,-855.0,10104.0,27664.0,11328.0,58750.0
1960Q4,980.0,10460.0,40.0,-721.0,13964.0,27899.0,11375.0,48611.0
1961Q1,2680.0,10256.0,36.0,-5154.0,9556.0,28148.0,11410.0,51409.0
1961Q2,4672.0,10464.0,36.0,963.0,13404.0,28414.0,11460.0,56892.0
1961Q3,1532.0,10536.0,37.0,625.0,14064.0,28697.0,11527.0,62646.0
1961Q4,-400.0,11048.0,39.0,4507.0,19328.0,28997.0,11611.0,64098.0
1962Q1,244.0,11392.0,46.0,1547.0,12924.0,29314.0,11712.0,68639.0
1962Q2,576.0,11680.0,47.0,-609.0,20540.0,29645.0,11807.0,66429.0
1962Q3,256.0,11880.0,47.0,421.0,17244.0,29989.0,11894.0,68171.0
1962Q4,400.0,11408.0,48.0,937.0,21548.0,30348.0,11974.0,65297.0
1963Q1,-20.0,12056.0,114.0,2265.0,15556.0,30720.0,12045.0,69571.0
1963Q2,-44.0,12424.0,116.0,633.0,18824.0,31117.0,12131.0,69654.0
1963Q3,384.0,12544.0,117.0,2238.0,17376.0,31538.0,12231.0,72345.0
1963Q4,-1684.0,12752.0,121.0,3558.0,25900.0,31984.0,12346.0,74203.0
1964Q1,2548.0,13080.0,38.0,2791.0,16300.0,32454.0,12476.0,75551.0
1964Q2,3128.0,13808.0,40.0,227.0,23156.0,32961.0,12621.0,76001.0
1964Q3,748.0,14244.0,40.0,1187.0,23024.0,33506.0,12780.0,78004.0
1964Q4,-1844.0,14852.0,42.0,5346.0,26332.0,34088.0,12953.0,80955.0
1965Q1,-224.0,14960.0,59.0,3236.0,28764.0,34707.0,13140.0,90928.0
1965Q2,1320.0,15696.0,61.0,1735.0,29860.0,35403.0,13347.0,91174.0
1965Q3,52.0,16644.0,63.0,3467.0,29332.0,36176.0,13573.0,94569.0
1965Q4,-1260.0,17480.0,65.0,6610.0,30212.0,37026.0,13817.0,96573.0
1966Q1,-528.0,17576.0,47.0,1199.0,38208.0,37953.0,14081.0,106279.0
1966Q2,6032.0,16936.0,47.0,1474.0,42080.0,38899.0,14338.0,107198.0
1966Q3,1068.0,16572.0,46.0,5483.0,32008.0,39865.0,14588.0,107644.0
1966Q4,-1536.0,15920.0,44.0,5827.0,25684.0,40850.0,14831.0,112709.0
1967Q1,1008.0,17104.0,34.0,6677.0,33476.0,41855.0,15065.0,110350.0
1967Q2,1920.0,17896.0,35.0,-1090.0,37240.0,42896.0,15311.0,102705.0
1967Q3,2944.0,17560.0,36.0,-236.0,32820.0,43972.0,15567.0,104944.0
1967Q4,3716.0,16532.0,34.0,-1615.0,27112.0,45085.0,15832.0,109819.0
1968Q1,1460.0,18648.0,38.0,10736.0,39864.0,46234.0,16107.0,114314.0
1968Q2,2120.0,18604.0,40.0,1319.0,43288.0,47437.0,16414.0,119029.0
1968Q3,-1904.0,19376.0,41.0,923.0,40668.0,48693.0,16752.0,115232.0
1968Q4,-2312.0,19524.0,41.0,-343.0,46340.0,50003.0,17122.0,117402.0
1969Q1,1348.0,19028.0,39.0,5627.0,43872.0,51367.0,17523.0,127563.0
1969Q2,1684.0,19160.0,39.0,-3000.0,56732.0,52759.0,17905.0,127818.0
1969Q3,3960.0,18812.0,39.0,-1887.0,49728.0,54180.0,18269.0,132718.0
1969Q4,6632.0,19104.0,40.0,-184.0,42180.0,55630.0,18615.0,128672.0
1970Q1,5268.0,18272.0,24.0,13776.0,47696.0,57109.0,18945.0,125545.0
1970Q2,4780.0,18484.0,24.0,-3588.0,59812.0,58561.0,19304.0,129763.0
1970Q3,4424.0,18044.0,24.0,-6473.0,45576.0,59986.0,19696.0,130837.0
1970Q4,8304.0,18380.0,24.0,-5148.0,41376.0,61383.0,20120.0,120822.0
1971Q1,7928.0,18912.0,54.0,5919.0,46956.0,62754.0,20577.0,141835.0
1971Q2,13260.0,17584.0,54.0,120.0,59392.0,64093.0,21032.0,142134.0
1971Q3,15360.0,19008.0,54.0,4604.0,56168.0,65402.0,21484.0,143788.0
1971Q4,9192.0,17076.0,54.0,-3421.0,43596.0,66679.0,21933.0,137495.0
1972Q1,9032.0,19900.0,72.0,3870.0,63512.0,67926.0,22380.0,147941.0
1972Q2,13712.0,19788.0,73.0,-9139.0,71144.0,69329.0,22856.0,160244.0
1972Q3,10384.0,19712.0,75.0,-959.0,66044.0,70890.0,23360.0,165629.0
1972Q4,10560.0,19288.0,76.0,-13523.0,81820.0,72607.0,23888.0,170102.0
1973Q1,7004.0,19688.0,91.0,-9202.0,102740.0,74482.0,24436.0,182763.0
1973Q2,8676.0,20580.0,94.0,2151.0,103876.0,76711.0,25091.0,192610.0
1973Q3,5148.0,21424.0,98.0,18525.0,99584.0,79295.0,25854.0,192037.0
1973Q4,10704.0,21308.0,101.0,25942.0,69088.0,82233.0,26726.0,206406.0
1974Q1,6220.0,20276.0,131.0,-20393.0,94960.0,85525.0,27709.0,197897.0
1974Q2,4976.0,23048.0,134.0,-27927.0,112536.0,89186.0,28752.0,216923.0
1974Q3,-20.0,22144.0,136.0,-33598.0,92076.0,93214.0,29853.0,194879.0
1974Q4,5212.0,20660.0,135.0,-29147.0,73104.0,97611.0,31008.0,214721.0
1975Q1,7732.0,24840.0,172.0,-14591.0,39148.0,102375.0,32213.0,173819.0
1975Q2,12892.0,24220.0,171.0,-16376.0,38968.0,106420.0,33234.0,169202.0
1975Q3,6852.0,24092.0,172.0,-10703.0,39772.0,109747.0,34076.0,185509.0
1975Q4,12156.0,25132.0,174.0,-9318.0,34728.0,112354.0,34741.0,191832.0
1976Q1,12608.0,24140.0,137.0,-21834.0,65388.0,114243.0,35233.0,214141.0
1976Q2,14020.0,27876.0,144.0,-12642.0,69796.0,116610.0,35855.0,229799.0
1976Q3,7316.0,28972.0,151.0,-9092.0,77336.0,119456.0,36603.0,236420.0
1976Q4,8152.0,30112.0,159.0,-9041.0,82996.0,122779.0,37475.0,232082.0
1977Q1,-640.0,29220.0,259.0,-29356.0,109488.0,126580.0,38466.0,247565.0
1977Q2,1728.0,29856.0,266.0,-10056.0,110056.0,130492.0,39521.0,265401.0
1977Q3,4420.0,31232.0,276.0,-1578.0,109488.0,134516.0,40642.0,288785.0
1977Q4,5400.0,33336.0,283.0,8765.0,138556.0,138652.0,41830.0,292037.0
1978Q1,-6444.0,33932.0,173.0,-14273.0,143412.0,142898.0,43089.0,298639.0
1978Q2,2792.0,33088.0,177.0,-18649.0,141648.0,147498.0,44453.0,327116.0
1978Q3,800.0,37468.0,185.0,-12681.0,123760.0,152452.0,45925.0,339676.0
1978Q4,2448.0,39216.0,192.0,-13569.0,144180.0,157759.0,47508.0,361617.0
1979Q1,-6740.0,38200.0,237.0,-7957.0,148516.0,163420.0,49206.0,374581.0
1979Q2,-12448.0,38176.0,243.0,-41363.0,180460.0,169294.0,50950.0,384337.0
1979Q3,-7580.0,35940.0,248.0,-30162.0,170104.0,175381.0,52742.0,389101.0
1979Q4,-4576.0,38240.0,255.0,-35920.0,141880.0,181680.0,54581.0,394681.0
1980Q1,5500.0,38272.0,189.0,-52559.0,161140.0,188193.0,56467.0,400840.0
1980Q2,3400.0,51604.0,197.0,-54311.0,98376.0,195065.0,58368.0,380569.0
1980Q3,10100.0,43044.0,198.0,-51780.0,108880.0,202296.0,60284.0,352479.0
1980Q4,22500.0,45684.0,201.0,-18684.0,172776.0,209887.0,62215.0,406527.0
1981Q1,3200.0,49508.0,324.0,-3219.0,141820.0,217837.0,64161.0,460977.0
1981Q2,-5400.0,51788.0,343.0,9078.0,229096.0,225516.0,66059.0,456639.0
1981Q3,-26600.0,54016.0,358.0,20832.0,205360.0,232923.0,67914.0,510656.0
1981Q4,-25000.0,54696.0,367.0,5694.0,183900.0,240060.0,69730.0,496803.0
1982Q1,-7500.0,58396.0,261.0,-44667.0,216932.0,246926.0,71509.0,442702.0
1982Q2,2700.0,47414.0,257.0,-69265.0,184272.0,252454.0,72868.0,445568.0
1982Q3,-7500.0,52386.0,259.0,-66502.0,185480.0,256644.0,73797.0,442775.0
1982Q4,19900.0,58033.0,267.0,-52817.0,71044.0,259495.0,74293.0,399665.0
1983Q1,22900.0,62963.0,256.0,-51929.0,110164.0,261009.0,74353.0,389005.0
1983Q2,36900.0,60834.0,260.0,-50464.0,153728.0,263057.0,74567.0,436780.0
1983Q3,8500.0,63381.0,267.0,-63023.0,197108.0,265640.0,74933.0,449337.0
1983Q4,11700.0,65818.0,274.0,-44238.0,201892.0,268758.0,75446.0,498675.0
1984Q1,-63000.0,66764.0,282.0,-33468.0,285004.0,272411.0,76105.0,566192.0
1984Q2,-105000.0,67189.0,289.0,-67887.0,350412.0,276489.0,76832.0,589939.0
1984Q3,-71700.0,68006.0,289.0,-75033.0,306120.0,280991.0,77627.0,605737.0
1984Q4,-76200.0,66857.0,295.0,-67694.0,341632.0,285917.0,78490.0,593155.0
1985Q1,-87000.0,68187.0,373.0,-50386.0,263170.0,291268.0,79421.0,566196.0
1985Q2,-70000.0,76025.0,379.0,-53950.0,263809.0,296491.0,80429.0,580025.0
1985Q3,-78000.0,70696.0,384.0,-35227.0,215913.0,301588.0,81517.0,574861.0
1985Q4,-103000.0,73116.0,388.0,61188.0,276048.0,306557.0,82689.0,598499.0
1986Q1,-60300.0,70746.0,450.0,-22330.0,257025.0,311399.0,83946.0,591447.0
1986Q2,-87300.0,75956.0,463.0,4681.0,294663.0,315925.0,85166.0,577619.0
1986Q3,-84800.0,70911.0,467.0,870.0,303718.0,320135.0,86348.0,543721.0
1986Q4,-107500.0,73805.0,468.0,-22089.0,324106.0,324030.0,87493.0,546998.0
1987Q1,-43500.0,74886.0,204.0,-40951.0,158613.0,327609.0,88600.0,569927.0
1987Q2,-76500.0,73657.0,205.0,-23208.0,211322.0,331874.0,89792.0,566296.0
1987Q3,-70000.0,74778.0,212.0,-23850.0,258334.0,336824.0,91068.0,563159.0
1987Q4,-112000.0,81682.0,219.0,-22103.0,266419.0,342461.0,92428.0,627298.0
1988Q1,-101000.0,71908.0,781.0,-36578.0,306733.0,348784.0,93870.0,587330.0
1988Q2,-139500.0,78285.0,812.0,-11251.0,309017.0,354875.0,95313.0,601743.0
1988Q3,-83000.0,93946.0,853.0,-35601.0,317158.0,360733.0,96757.0,609811.0
1988Q4,-194500.0,84522.0,891.0,-50688.0,301140.0,366359.0,98205.0,621606.0
1989Q1,-172300.0,105165.0,629.0,-21995.0,244249.0,371753.0,99659.0,660821.0
1989Q2,-98700.0,105349.0,662.0,-27388.0,284349.0,377232.0,100989.0,659978.0
1989Q3,-146300.0,109028.0,684.0,-45902.0,159748.0,382795.0,102190.0,651084.0
1989Q4,-79300.0,101904.0,710.0,-42527.0,168850.0,388444.0,103259.0,655558.0
1990Q1,-69000.0,119708.0,838.0,3859.0,218261.0,394178.0,104191.0,665908.0
1990Q2,-48000.0,115947.0,837.0,30147.0,140547.0,399981.0,105044.0,680640.0
1990Q3,-74000.0,117565.0,838.0,34057.0,103318.0,405854.0,105818.0,675561.0
1990Q4,-61000.0,119976.0,819.0,16323.0,63111.0,411795.0,106512.0,633090.0
1991Q1,-6000.0,120257.0,775.0,144.0,-66180.0,417807.0,107123.0,620020.0
1991Q2,12000.0,126333.0,797.0,28847.0,288.0,422871.0,107572.0,615593.0
1991Q3,19000.0,125889.0,810.0,48234.0,-123705.0,426988.0,107863.0,629281.0
1991Q4,48000.0,129491.0,811.0,30225.0,-132286.0,430159.0,108000.0,656881.0
1992Q1,46000.0,127754.0,1132.0,19177.0,-4540.0,432382.0,107990.0,623787.0
1992Q2,36000.0,132112.0,1151.0,47312.0,-25780.0,435419.0,108193.0,666319.0
1992Q3,12000.0,133777.0,1168.0,50592.0,8134.0,439271.0,108605.0,673832.0
1992Q4,14000.0,143422.0,1185.0,1280.0,-19676.0,443936.0,109222.0,684293.0
1993Q1,8200.0,144926.0,717.0,48064.0,65817.0,449415.0,110037.0,715408.0
1993Q2,23200.0,145600.0,734.0,49814.0,137717.0,455018.0,110870.0,719298.0
1993Q3,32300.0,148754.0,757.0,41772.0,144569.0,460746.0,111721.0,702779.0
1993Q4,21500.0,157446.0,788.0,39421.0,106523.0,466597.0,112594.0,740083.0
1994Q1,-9600.0,151882.0,935.0,26360.0,214262.0,472573.0,113491.0,777830.0
1994Q2,-2000.0,159726.0,969.0,85725.0,185345.0,479844.0,114553.0,827738.0
1994Q3,-50000.0,156279.0,995.0,42712.0,204025.0,488412.0,115776.0,813464.0
1994Q4,-118000.0,164018.0,1013.0,25722.0,213466.0,498275.0,117154.0,879622.0
1995Q1,-43600.0,167248.0,1036.0,29673.0,280606.0,509434.0,118683.0,906405.0
1995Q2,-54920.0,169709.0,1059.0,37364.0,297737.0,519602.0,120049.0,893567.0
1995Q3,-76400.0,185098.0,1095.0,9702.0,189697.0,528780.0,121260.0,911119.0
1995Q4,-58400.0,190044.0,1142.0,782.0,181974.0,536967.0,122323.0,903957.0
1996Q1,-60900.0,186950.0,956.0,-28660.0,234272.0,544164.0,123244.0,908355.0
1996Q2,13900.0,191379.0,998.0,27833.0,292502.0,552331.0,124261.0,949304.0
1996Q3,-112500.0,202059.0,1035.0,-166.0,247774.0,561467.0,125367.0,996548.0
1996Q4,-29800.0,209810.0,1067.0,-12180.0,154697.0,571574.0,126557.0,1014274.0
1997Q1,-55800.0,207951.0,1604.0,-41693.0,301259.0,582650.0,127825.0,1035958.0
1997Q2,-58700.0,210185.0,1644.0,-14869.0,358196.0,593385.0,129187.0,1120520.0
1997Q3,-91500.0,216979.0,1682.0,-24952.0,494811.0,603780.0,130646.0,1113523.0
1997Q4,-103500.0,228670.0,1718.0,624.0,370521.0,613833.0,132210.0,1113761.0
1998Q1,-86700.0,237718.0,1446.0,-46338.0,571791.0,623545.0,133883.0,1161714.0
1998Q2,-71232.0,243441.0,1457.0,-41550.0,610542.0,633301.0,135680.0,1125046.0
1998Q3,-259360.0,239266.0,1452.0,-12253.0,520652.0,643102.0,137604.0,1148014.0
1998Q4,-444856.0,243708.0,1429.0,-42466.0,529902.0,652947.0,139655.0,1177421.0
1999Q1,-27680.0,224933.0,1922.0,-37579.0,648407.0,662837.0,141838.0,1231048.0
1999Q2,-306800.0,226498.0,1907.0,-71084.0,428148.0,675008.0,144216.0,1223321.0
1999Q3,-104752.0,213080.0,1934.0,-74667.0,693991.0,689462.0,146468.0,1252873.0
1999Q4,-2240.0,234157.0,2002.0,-93510.0,498782.0,706197.0,148978.0,1304282.0
2000Q1,108176.0,243318.0,1779.0,-32847.0,663731.0,725215.0,152075.0,1286084.0
2000Q2,-202520.0,256606.0,1831.0,-22669.0,672853.0,739479.0,155040.0,1404562.0
2000Q3,-42924.0,263553.0,1847.0,21418.0,414335.0,748988.0,157806.0,1388403.0
2000Q4,-335548.0,241830.0,1827.0,-43099.0,452913.0,753742.0,160365.0,1388175.0
2001Q1,-19400.0,241477.0,1966.0,8596.0,421281.0,770474.0,163075.0,1281704.0
2001Q2,-59100.0,226187.0,1935.0,-18828.0,437404.0,783802.0,165765.0,1274315.0
2001Q3,-109400.0,257505.0,1929.0,-28807.0,284773.0,790336.0,167854.0,1245897.0
2001Q4,-4600.0,256506.0,1958.0,-27587.0,218867.0,796699.0,169601.0,1136811.0
2002Q1,-2476.0,252050.0,1930.0,-63474.0,261089.0,799845.0,171097.0,1182172.0
2002Q2,23964.0,260246.0,1990.0,-83545.0,108753.0,801817.0,173292.0,1184361.0
2002Q3,-114256.0,240754.0,2014.0,-78844.0,90013.0,806901.0,175681.0,1180395.0
2002Q4,-3732.0,266110.0,2053.0,-62157.0,159441.0,810109.0,178379.0,1179992.0
2003Q1,-57408.0,239300.0,2005.0,51677.0,106658.0,811369.0,180680.0,1186560.0
2003Q2,-20720.0,327697.0,2012.0,57405.0,51104.0,814897.0,182235.0,1184962.0
2003Q3,-11608.0,294274.0,2127.0,60740.0,184022.0,820280.0,184440.0,1223139.0
2003Q4,-12384.0,312193.0,2316.0,59710.0,-32544.0,825261.0,187202.0,1267958.0
2004Q1,-15844.0,333514.0,2514.0,44497.0,460991.0,834534.0,190590.0,1251543.0
2004Q2,-87112.0,322977.0,2649.0,105281.0,211362.0,843800.0,194273.0,1318715.0
2004Q3,-162580.0,328136.0,2678.0,70564.0,472877.0,853984.0,198188.0,1347363.0
2004Q4,-108248.0,473298.0,3164.0,78117.0,447058.0,868578.0,202524.0,1389889.0
2005Q1,-189304.0,314107.0,2760.0,-14799.0,581158.0,885174.0,207238.0,1471989.0
2005Q2,-254392.0,252167.0,2833.0,-37458.0,533436.0,901071.0,211657.0,1435683.0
2005Q3,-401448.0,106546.0,2859.0,-91623.0,553714.0,916500.0,216802.0,1462142.0
2005Q4,-355752.0,10388.0,3060.0,-62581.0,765436.0,936935.0,221983.0,1552976.0
2006Q1,-475776.0,399369.0,5001.0,18131.0,817372.0,953461.0,226830.0,1604486.0
2006Q2,-494876.0,412943.0,5226.0,1112.0,798753.0,970487.0,230857.0,1632904.0
2006Q3,-444256.0,487905.0,5347.0,-417.0,552741.0,987294.0,234507.0,1646093.0
2006Q4,-572704.0,584081.0,5554.0,-13555.0,1045146.0,1006278.0,238386.0,1684387.0
2007Q1,-458864.0,478089.0,3990.0,-50244.0,937390.0,1023362.0,242326.0,1634659.0
2007Q2,-660080.0,481016.0,4198.0,-38383.0,1180652.0,1035817.0,244690.0,1703795.0
2007Q3,-719284.0,502035.0,4254.0,-45597.0,1265875.0,1045565.0,246578.0,1764748.0
2007Q4,-987132.0,477187.0,4274.0,-66856.0,1079298.0,1056312.0,248752.0,1719872.0
2008Q1,-372088.0,468875.0,3791.0,-352452.0,879777.0,1072302.0,251504.0,1704490.0
2008Q2,-183476.0,484532.0,3625.0,-306909.0,768194.0,1086948.0,253551.0,1706762.0
2008Q3,-314340.0,478077.0,3495.0,-312754.0,598657.0,1104253.0,255932.0,1670431.0
2008Q4,-392336.0,465193.0,3218.0,-298650.0,102664.0,1112288.0,256908.0,1581091.0
2009Q1,-138832.0,448927.0,4111.0,-140151.0,-287273.0,1104967.0,256359.0,1344697.0
2009Q2,136336.0,374349.0,3532.0,-90782.0,-385968.0,1091407.0,253515.0,1205041.0
2009Q3,66904.0,275690.0,3178.0,-104303.0,-590568.0,1084095.0,251170.0,1153065.0
2009Q4,-269056.0,306609.0,3050.0,-97427.0,-557355.0,1087418.0,251034.0,1291979.0
2010Q1,-166716.0,356840.0,3402.0,181665.0,-160996.0,1087788.0,250204.0,1367567.0
2010Q2,-190952.0,346344.0,3539.0,161112.0,-342192.0,1091621.0,249989.0,1459248.0
2010Q3,-338400.0,394261.0,3756.0,159157.0,191946.0,1095052.0,251678.0,1552927.0
2010Q4,-306636.0,404447.0,4011.0,163508.0,-49546.0,1103859.0,255348.0,1542490.0
2011Q1,-293800.0,414443.0,4893.0,229892.0,163023.0,1118789.0,259793.0,1518884.0
2011Q2,-476444.0,432211.0,5070.0,226917.0,332303.0,1134989.0,264085.0,1598579.0
2011Q3,-622964.0,447857.0,5347.0,231333.0,348645.0,1147353.0,267189.0,1593647.0
2011Q4,-425128.0,469676.0,5621.0,249352.0,347193.0,1155734.0,268920.0,1743060.0
2012Q1,-236652.0,462959.0,6372.0,98764.0,407321.0,1170315.0,269792.0,1778245.0
2012Q2,-428320.0,466094.0,6627.0,87778.0,394014.0,1181976.0,271675.0,1841326.0
2012Q3,-349296.0,493216.0,6707.0,85027.0,437620.0,1192118.0,274021.0,1824886.0
2012Q4,-365352.0,649433.0,8385.0,63306.0,712130.0,1200375.0,276462.0,1794714.0
2013Q1,-213692.0,529024.0,4405.0,191887.0,391742.0,1212209.0,279286.0,1794227.0
2013Q2,-371160.0,505931.0,5764.0,171973.0,548889.0,1226179.0,282878.0,1861867.0
2013Q3,-344056.0,589561.0,4708.0,178354.0,810311.0,1238435.0,286007.0,1943598.0
2013Q4,-482744.0,476445.0,5123.0,172338.0,468202.0,1251960.0,289894.0,1947532.0
2014Q1,-501836.0,588890.0,4984.0,31762.0,690191.0,1266490.0,292955.0,1974696.0
2014Q2,-273072.0,585792.0,4983.0,12000.0,585732.0,1279789.0,295417.0,2013888.0
2014Q3,-434296.0,542747.0,4962.0,3523.0,702092.0,1292825.0,299249.0,2072656.0
2014Q4,-340972.0,577913.0,5071.0,33895.0,830574.0,1303809.0,302239.0,2078487.0
2015Q1,-593468.0,588578.0,5107.0,18451.0,863124.0,1311433.0,303928.0,2118793.0
2015Q2,-488480.0,579692.0,5114.0,18842.0,1024924.0,1318035.0,305512.0,2282387.0
2015Q3,-668476.0,580409.0,5272.0,22332.0,585851.0,1332701.0,308860.0,2122468.0